timestamp,state,last_changed,strftime,time_period,cost
2024-08-07 21:00:00+12:00,1.2999999999992724,2024-08-07T09:00:58.116506+00:002024-08-07T09:03:28.092711+00:002024-08-07T09:05:28.180058+00:002024-08-07T09:06:58.031590+00:002024-08-07T09:09:28.250492+00:002024-08-07T09:10:58.053048+00:002024-08-07T09:12:28.096372+00:002024-08-07T09:13:28.138653+00:002024-08-07T09:14:58.542608+00:002024-08-07T09:16:28.057327+00:002024-08-07T09:18:28.070165+00:002024-08-07T09:25:58.085525+00:002024-08-07T09:28:58.033665+00:00,09:00 PM09:03 PM09:05 PM09:06 PM09:09 PM09:10 PM09:12 PM09:13 PM09:14 PM09:16 PM09:18 PM09:25 PM09:28 PM,off_peak_shoulder,0.24075999999986525
2024-08-07 21:30:00+12:00,1.2000000000007276,2024-08-07T09:30:58.155652+00:002024-08-07T09:32:58.044277+00:002024-08-07T09:34:28.072036+00:002024-08-07T09:39:28.094871+00:002024-08-07T09:43:28.381314+00:002024-08-07T09:45:58.214414+00:002024-08-07T09:47:58.078728+00:002024-08-07T09:53:28.095052+00:002024-08-07T09:55:58.118477+00:002024-08-07T09:57:28.127135+00:002024-08-07T09:58:28.147629+00:002024-08-07T09:59:28.136915+00:00,09:30 PM09:32 PM09:34 PM09:39 PM09:43 PM09:45 PM09:47 PM09:53 PM09:55 PM09:57 PM09:58 PM09:59 PM,off_peak_shoulder,0.22224000000013475
2024-08-07 22:00:00+12:00,1.0,2024-08-07T10:00:58.333961+00:002024-08-07T10:01:58.136132+00:002024-08-07T10:02:58.217912+00:002024-08-07T10:04:28.085269+00:002024-08-07T10:07:28.083269+00:002024-08-07T10:11:28.092295+00:002024-08-07T10:13:58.163155+00:002024-08-07T10:20:28.073671+00:002024-08-07T10:23:58.084458+00:002024-08-07T10:26:28.101277+00:00,10:00 PM10:01 PM10:02 PM10:04 PM10:07 PM10:11 PM10:13 PM10:20 PM10:23 PM10:26 PM,off_peak_shoulder,0.1852
2024-08-07 22:30:00+12:00,1.3999999999978172,2024-08-07T10:33:28.051383+00:002024-08-07T10:34:58.043476+00:002024-08-07T10:36:28.061648+00:002024-08-07T10:37:28.065243+00:002024-08-07T10:38:28.070902+00:002024-08-07T10:39:58.080581+00:002024-08-07T10:44:58.150544+00:002024-08-07T10:47:28.139109+00:002024-08-07T10:49:28.051215+00:002024-08-07T10:51:28.437525+00:002024-08-07T10:52:58.075967+00:002024-08-07T10:54:28.118843+00:002024-08-07T10:55:58.156358+00:002024-08-07T10:57:58.195532+00:00,10:33 PM10:34 PM10:36 PM10:37 PM10:38 PM10:39 PM10:44 PM10:47 PM10:49 PM10:51 PM10:52 PM10:54 PM10:55 PM10:57 PM,off_peak_shoulder,0.2592799999995958
2024-08-07 23:00:00+12:00,4.700000000000728,2024-08-07T11:00:28.187369+00:002024-08-07T11:00:58.173420+00:002024-08-07T11:01:28.076746+00:002024-08-07T11:01:58.142758+00:002024-08-07T11:02:28.438589+00:002024-08-07T11:02:58.142636+00:002024-08-07T11:03:28.204955+00:002024-08-07T11:03:58.052949+00:002024-08-07T11:04:28.339599+00:002024-08-07T11:04:58.081120+00:002024-08-07T11:05:28.465548+00:002024-08-07T11:05:58.039769+00:002024-08-07T11:06:28.329659+00:002024-08-07T11:06:58.366641+00:002024-08-07T11:07:28.145992+00:002024-08-07T11:07:58.124875+00:002024-08-07T11:08:28.414135+00:002024-08-07T11:09:28.111305+00:002024-08-07T11:09:58.235917+00:002024-08-07T11:10:28.083106+00:002024-08-07T11:10:58.240490+00:002024-08-07T11:11:58.061348+00:002024-08-07T11:12:28.167570+00:002024-08-07T11:12:58.192212+00:002024-08-07T11:13:58.108922+00:002024-08-07T11:14:28.158849+00:002024-08-07T11:14:58.109286+00:002024-08-07T11:15:58.173915+00:002024-08-07T11:16:28.054565+00:002024-08-07T11:16:58.037701+00:002024-08-07T11:17:58.101545+00:002024-08-07T11:18:28.637138+00:002024-08-07T11:18:58.052581+00:002024-08-07T11:19:28.073882+00:002024-08-07T11:20:28.051474+00:002024-08-07T11:20:58.082258+00:002024-08-07T11:21:28.073115+00:002024-08-07T11:22:28.095035+00:002024-08-07T11:22:58.238840+00:002024-08-07T11:23:58.311005+00:002024-08-07T11:24:28.171645+00:002024-08-07T11:25:28.371128+00:002024-08-07T11:25:58.067213+00:002024-08-07T11:26:58.084312+00:002024-08-07T11:27:58.196720+00:002024-08-07T11:28:28.081917+00:002024-08-07T11:29:28.142811+00:00,11:00 PM11:00 PM11:01 PM11:01 PM11:02 PM11:02 PM11:03 PM11:03 PM11:04 PM11:04 PM11:05 PM11:05 PM11:06 PM11:06 PM11:07 PM11:07 PM11:08 PM11:09 PM11:09 PM11:10 PM11:10 PM11:11 PM11:12 PM11:12 PM11:13 PM11:14 PM11:14 PM11:15 PM11:16 PM11:16 PM11:17 PM11:18 PM11:18 PM11:19 PM11:20 PM11:20 PM11:21 PM11:22 PM11:22 PM11:23 PM11:24 PM11:25 PM11:25 PM11:26 PM11:27 PM11:28 PM11:29 PM,off_peak,0.6218100000000962
2024-08-07 23:30:00+12:00,4.0,2024-08-07T11:30:28.192085+00:002024-08-07T11:30:58.154487+00:002024-08-07T11:31:58.048260+00:002024-08-07T11:32:28.135621+00:002024-08-07T11:33:28.245915+00:002024-08-07T11:34:28.042426+00:002024-08-07T11:34:58.079026+00:002024-08-07T11:35:58.055567+00:002024-08-07T11:36:58.343480+00:002024-08-07T11:37:28.074042+00:002024-08-07T11:37:58.069882+00:002024-08-07T11:38:28.079984+00:002024-08-07T11:38:58.065895+00:002024-08-07T11:39:58.058174+00:002024-08-07T11:40:28.074724+00:002024-08-07T11:40:58.079618+00:002024-08-07T11:41:28.086170+00:002024-08-07T11:41:58.082041+00:002024-08-07T11:42:58.125801+00:002024-08-07T11:43:58.098102+00:002024-08-07T11:44:28.099545+00:002024-08-07T11:45:28.085462+00:002024-08-07T11:46:28.253582+00:002024-08-07T11:46:58.124609+00:002024-08-07T11:47:58.113402+00:002024-08-07T11:48:58.393302+00:002024-08-07T11:49:28.150919+00:002024-08-07T11:50:28.284569+00:002024-08-07T11:51:28.053281+00:002024-08-07T11:51:58.130067+00:002024-08-07T11:52:58.033823+00:002024-08-07T11:53:28.322176+00:002024-08-07T11:54:28.095469+00:002024-08-07T11:55:29.408608+00:002024-08-07T11:55:59.134193+00:002024-08-07T11:56:59.163464+00:002024-08-07T11:57:29.033436+00:002024-08-07T11:58:29.142160+00:002024-08-07T11:59:29.137960+00:002024-08-07T11:59:59.026805+00:00,11:30 PM11:30 PM11:31 PM11:32 PM11:33 PM11:34 PM11:34 PM11:35 PM11:36 PM11:37 PM11:37 PM11:38 PM11:38 PM11:39 PM11:40 PM11:40 PM11:41 PM11:41 PM11:42 PM11:43 PM11:44 PM11:45 PM11:46 PM11:46 PM11:47 PM11:48 PM11:49 PM11:50 PM11:51 PM11:51 PM11:52 PM11:53 PM11:54 PM11:55 PM11:55 PM11:56 PM11:57 PM11:58 PM11:59 PM11:59 PM,off_peak,0.5292
2024-08-08 00:00:00+12:00,3.900000000001455,2024-08-07T12:00:59.183741+00:002024-08-07T12:01:59.071389+00:002024-08-07T12:02:29.148454+00:002024-08-07T12:03:29.082938+00:002024-08-07T12:03:59.208360+00:002024-08-07T12:04:59.031909+00:002024-08-07T12:05:59.079623+00:002024-08-07T12:06:29.101896+00:002024-08-07T12:07:29.062320+00:002024-08-07T12:07:59.083992+00:002024-08-07T12:08:59.078584+00:002024-08-07T12:09:59.040784+00:002024-08-07T12:10:29.092575+00:002024-08-07T12:11:29.109816+00:002024-08-07T12:12:29.050422+00:002024-08-07T12:12:59.116623+00:002024-08-07T12:13:59.127097+00:002024-08-07T12:14:29.134230+00:002024-08-07T12:15:29.323229+00:002024-08-07T12:16:29.143422+00:002024-08-07T12:16:59.264839+00:002024-08-07T12:17:59.058112+00:002024-08-07T12:18:29.055610+00:002024-08-07T12:19:29.065049+00:002024-08-07T12:20:29.087794+00:002024-08-07T12:20:59.069737+00:002024-08-07T12:21:59.173429+00:002024-08-07T12:22:29.045047+00:002024-08-07T12:22:59.314274+00:002024-08-07T12:23:29.303869+00:002024-08-07T12:23:59.087419+00:002024-08-07T12:24:59.027909+00:002024-08-07T12:25:29.095113+00:002024-08-07T12:25:59.111346+00:002024-08-07T12:26:29.133303+00:002024-08-07T12:27:29.053118+00:002024-08-07T12:27:59.155329+00:002024-08-07T12:28:59.121737+00:002024-08-07T12:29:59.034939+00:00,12:00 AM12:01 AM12:02 AM12:03 AM12:03 AM12:04 AM12:05 AM12:06 AM12:07 AM12:07 AM12:08 AM12:09 AM12:10 AM12:11 AM12:12 AM12:12 AM12:13 AM12:14 AM12:15 AM12:16 AM12:16 AM12:17 AM12:18 AM12:19 AM12:20 AM12:20 AM12:21 AM12:22 AM12:22 AM12:23 AM12:23 AM12:24 AM12:25 AM12:25 AM12:26 AM12:27 AM12:27 AM12:28 AM12:29 AM,off_peak,0.5159700000001926
2024-08-08 00:30:00+12:00,3.6999999999970896,2024-08-07T12:30:29.191638+00:002024-08-07T12:31:29.142910+00:002024-08-07T12:32:29.054363+00:002024-08-07T12:32:59.054238+00:002024-08-07T12:33:59.063649+00:002024-08-07T12:34:29.057045+00:002024-08-07T12:35:29.074889+00:002024-08-07T12:36:29.091039+00:002024-08-07T12:36:59.037901+00:002024-08-07T12:37:59.075867+00:002024-08-07T12:38:59.083732+00:002024-08-07T12:39:29.079865+00:002024-08-07T12:40:29.055088+00:002024-08-07T12:41:29.101325+00:002024-08-07T12:41:59.110910+00:002024-08-07T12:42:59.176013+00:002024-08-07T12:43:29.118603+00:002024-08-07T12:44:29.119286+00:002024-08-07T12:45:29.196913+00:002024-08-07T12:45:59.159244+00:002024-08-07T12:46:59.139993+00:002024-08-07T12:47:59.064803+00:002024-08-07T12:48:29.104553+00:002024-08-07T12:49:29.079820+00:002024-08-07T12:49:59.034461+00:002024-08-07T12:50:59.075031+00:002024-08-07T12:51:59.151604+00:002024-08-07T12:52:29.052751+00:002024-08-07T12:53:29.084389+00:002024-08-07T12:53:59.093011+00:002024-08-07T12:54:59.023668+00:002024-08-07T12:55:59.200538+00:002024-08-07T12:56:29.121680+00:002024-08-07T12:57:29.075686+00:002024-08-07T12:57:59.137592+00:002024-08-07T12:58:59.184298+00:002024-08-07T12:59:59.031080+00:00,12:30 AM12:31 AM12:32 AM12:32 AM12:33 AM12:34 AM12:35 AM12:36 AM12:36 AM12:37 AM12:38 AM12:39 AM12:40 AM12:41 AM12:41 AM12:42 AM12:43 AM12:44 AM12:45 AM12:45 AM12:46 AM12:47 AM12:48 AM12:49 AM12:49 AM12:50 AM12:51 AM12:52 AM12:53 AM12:53 AM12:54 AM12:55 AM12:56 AM12:57 AM12:57 AM12:58 AM12:59 AM,off_peak,0.489509999999615
2024-08-08 01:00:00+12:00,4.100000000002183,2024-08-07T13:00:29.151454+00:002024-08-07T13:01:29.135153+00:002024-08-07T13:01:59.153494+00:002024-08-07T13:02:59.156596+00:002024-08-07T13:03:59.034019+00:002024-08-07T13:04:29.054533+00:002024-08-07T13:05:29.063026+00:002024-08-07T13:06:29.076750+00:002024-08-07T13:06:59.053044+00:002024-08-07T13:07:59.077418+00:002024-08-07T13:08:29.200606+00:002024-08-07T13:09:29.088350+00:002024-08-07T13:10:29.087144+00:002024-08-07T13:10:59.099967+00:002024-08-07T13:11:59.045074+00:002024-08-07T13:12:29.064271+00:002024-08-07T13:13:29.187720+00:002024-08-07T13:14:29.120949+00:002024-08-07T13:14:59.005388+00:002024-08-07T13:15:59.205088+00:002024-08-07T13:16:29.135878+00:002024-08-07T13:17:29.044085+00:002024-08-07T13:17:59.166317+00:002024-08-07T13:18:29.169686+00:002024-08-07T13:18:59.073462+00:002024-08-07T13:19:29.050830+00:002024-08-07T13:19:59.046932+00:002024-08-07T13:20:29.062904+00:002024-08-07T13:21:29.087225+00:002024-08-07T13:21:59.090328+00:002024-08-07T13:22:29.045656+00:002024-08-07T13:22:59.070462+00:002024-08-07T13:23:29.064768+00:002024-08-07T13:23:59.124342+00:002024-08-07T13:24:59.101200+00:002024-08-07T13:25:59.168720+00:002024-08-07T13:26:29.256117+00:002024-08-07T13:27:29.024436+00:002024-08-07T13:27:59.093966+00:002024-08-07T13:28:59.104512+00:002024-08-07T13:29:59.011489+00:00,01:00 AM01:01 AM01:01 AM01:02 AM01:03 AM01:04 AM01:05 AM01:06 AM01:06 AM01:07 AM01:08 AM01:09 AM01:10 AM01:10 AM01:11 AM01:12 AM01:13 AM01:14 AM01:14 AM01:15 AM01:16 AM01:17 AM01:17 AM01:18 AM01:18 AM01:19 AM01:19 AM01:20 AM01:21 AM01:21 AM01:22 AM01:22 AM01:23 AM01:23 AM01:24 AM01:25 AM01:26 AM01:27 AM01:27 AM01:28 AM01:29 AM,off_peak,0.5424300000002887
2024-08-08 01:30:00+12:00,2.099999999998545,2024-08-07T13:30:59.226924+00:002024-08-07T13:31:59.176524+00:002024-08-07T13:32:59.162453+00:002024-08-07T13:33:59.120315+00:002024-08-07T13:34:59.025309+00:002024-08-07T13:35:59.062013+00:002024-08-07T13:36:59.088581+00:002024-08-07T13:37:59.085548+00:002024-08-07T13:38:59.080885+00:002024-08-07T13:39:59.026783+00:002024-08-07T13:40:59.096403+00:002024-08-07T13:41:59.092258+00:002024-08-07T13:42:59.334201+00:002024-08-07T13:43:59.129138+00:002024-08-07T13:44:59.056036+00:002024-08-07T13:47:29.029482+00:002024-08-07T13:49:59.031075+00:002024-08-07T13:52:29.037652+00:002024-08-07T13:54:59.032825+00:002024-08-07T13:57:29.042645+00:002024-08-07T13:59:59.100287+00:00,01:30 AM01:31 AM01:32 AM01:33 AM01:34 AM01:35 AM01:36 AM01:37 AM01:38 AM01:39 AM01:40 AM01:41 AM01:42 AM01:43 AM01:44 AM01:47 AM01:49 AM01:52 AM01:54 AM01:57 AM01:59 AM,off_peak,0.27782999999980745
2024-08-08 02:00:00+12:00,1.7000000000007276,2024-08-07T14:02:29.051229+00:002024-08-07T14:04:59.278988+00:002024-08-07T14:07:29.125046+00:002024-08-07T14:09:59.043879+00:002024-08-07T14:12:29.052141+00:002024-08-07T14:14:29.357815+00:002024-08-07T14:15:59.187597+00:002024-08-07T14:16:59.129410+00:002024-08-07T14:18:29.156100+00:002024-08-07T14:19:59.034389+00:002024-08-07T14:21:29.075469+00:002024-08-07T14:22:59.290240+00:002024-08-07T14:24:29.080997+00:002024-08-07T14:25:59.084213+00:002024-08-07T14:26:59.081949+00:002024-08-07T14:28:29.094226+00:002024-08-07T14:29:59.034460+00:00,02:02 AM02:04 AM02:07 AM02:09 AM02:12 AM02:14 AM02:15 AM02:16 AM02:18 AM02:19 AM02:21 AM02:22 AM02:24 AM02:25 AM02:26 AM02:28 AM02:29 AM,off_peak,0.22491000000009626
2024-08-08 02:30:00+12:00,2.0,2024-08-07T14:31:29.093902+00:002024-08-07T14:32:59.125619+00:002024-08-07T14:34:29.145961+00:002024-08-07T14:35:59.161769+00:002024-08-07T14:37:29.073853+00:002024-08-07T14:38:59.191691+00:002024-08-07T14:40:29.099005+00:002024-08-07T14:41:29.080674+00:002024-08-07T14:42:29.037914+00:002024-08-07T14:42:59.119575+00:002024-08-07T14:43:59.091763+00:002024-08-07T14:44:59.048518+00:002024-08-07T14:45:29.157066+00:002024-08-07T14:46:29.140015+00:002024-08-07T14:47:59.195355+00:002024-08-07T14:49:59.080688+00:002024-08-07T14:51:59.025845+00:002024-08-07T14:54:29.045154+00:002024-08-07T14:56:59.311872+00:002024-08-07T14:59:29.089840+00:00,02:31 AM02:32 AM02:34 AM02:35 AM02:37 AM02:38 AM02:40 AM02:41 AM02:42 AM02:42 AM02:43 AM02:44 AM02:45 AM02:46 AM02:47 AM02:49 AM02:51 AM02:54 AM02:56 AM02:59 AM,off_peak,0.2646
2024-08-08 03:00:00+12:00,1.2000000000007276,2024-08-07T15:01:59.084797+00:002024-08-07T15:04:29.153544+00:002024-08-07T15:06:59.052883+00:002024-08-07T15:09:29.067539+00:002024-08-07T15:11:59.071880+00:002024-08-07T15:14:29.032802+00:002024-08-07T15:16:59.091577+00:002024-08-07T15:19:29.133552+00:002024-08-07T15:21:59.050143+00:002024-08-07T15:24:29.155089+00:002024-08-07T15:26:59.089432+00:002024-08-07T15:29:29.093800+00:00,03:01 AM03:04 AM03:06 AM03:09 AM03:11 AM03:14 AM03:16 AM03:19 AM03:21 AM03:24 AM03:26 AM03:29 AM,off_peak,0.15876000000009627
2024-08-08 03:30:00+12:00,1.2000000000007276,2024-08-07T15:31:59.126539+00:002024-08-07T15:34:29.132874+00:002024-08-07T15:36:59.144429+00:002024-08-07T15:39:29.047781+00:002024-08-07T15:41:59.072328+00:002024-08-07T15:44:29.319398+00:002024-08-07T15:47:00.129048+00:002024-08-07T15:49:30.164623+00:002024-08-07T15:52:00.091614+00:002024-08-07T15:54:30.376313+00:002024-08-07T15:57:00.095303+00:002024-08-07T15:59:30.014508+00:00,03:31 AM03:34 AM03:36 AM03:39 AM03:41 AM03:44 AM03:47 AM03:49 AM03:52 AM03:54 AM03:57 AM03:59 AM,off_peak,0.15876000000009627
2024-08-08 04:00:00+12:00,1.3999999999978172,2024-08-07T16:02:00.150782+00:002024-08-07T16:04:30.149928+00:002024-08-07T16:07:01.071531+00:002024-08-07T16:09:31.131393+00:002024-08-07T16:12:01.195077+00:002024-08-07T16:14:31.023899+00:002024-08-07T16:17:01.208586+00:002024-08-07T16:19:31.059134+00:002024-08-07T16:21:01.069595+00:002024-08-07T16:22:01.082511+00:002024-08-07T16:23:01.089362+00:002024-08-07T16:24:01.077473+00:002024-08-07T16:26:32.137269+00:002024-08-07T16:29:02.086378+00:00,04:02 AM04:04 AM04:07 AM04:09 AM04:12 AM04:14 AM04:17 AM04:19 AM04:21 AM04:22 AM04:23 AM04:24 AM04:26 AM04:29 AM,off_peak,0.18521999999971123
